Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Fuerza Panameña LGBTIQ+,@fuerzapanama507,"https://pbs.twimg.com/media/GNa0UerXgAAId3g?format=jpg&name=small, https://pbs.twimg.com/media/GNa0UerXgAAId3g?format=jpg&name=small",3,7,,103,https://twitter.com/fuerzapanama507/status/1789816167835558150,https://twitter.com/fuerzapanama507,#Colombia : la comunidad #LGBT de ese país está preocupada. Los crímenes de odio contra esta población están yendo en aumento y el 2023 cerró con la cifra de 156 miembros de la población LGBT  asesinados. Los crímenes ocurrían cada dos o tres días.,8h,2024-05-13T00:33:22.000Z
Daniel Arroyo,@daar017,"https://pbs.twimg.com/media/GM8iGV0XYAAnGsi?format=jpg&name=900x900, https://pbs.twimg.com/media/GM8iGV0XYAAnGsi?format=jpg&name=900x900",,1,,96,https://twitter.com/daar017/status/1787685073082327144,https://twitter.com/daar017,"Yo le rezo al de arriba porque este man apoye el matrimonio igualitario, para que ese poco de gente que votó por el porque según ellos y las redes Lombana era pro lgbt y toda la peste del mundo, recordar martinelli apoyo en su tiempo esta comunidad",6 may.,2024-05-07T03:25:09.000Z
#NoMasCorrupcion♪♫,@elcanito05,"https://pbs.twimg.com/ext_tw_video_thumb/1787598995738480640/pu/img/PVr41tQ_iOVoSXzd.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1787598995738480640/pu/img/PVr41tQ_iOVoSXzd.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1787598995738480640/pu/img/PVr41tQ_iOVoSXzd.jpg",6,25,2,1 mil,https://twitter.com/elcanito05/status/1788175048735359200,https://twitter.com/elcanito05,"El que apoya el matrimonio igualitario es Mulino y RM (ambos tienen hijas/hijos LGBT) 

Tu solo creiste en mentiras que te repitieron, PÓNGALE CERO",8 may.,2024-05-08T11:52:08.000Z
David Castilllo,@JDCastilllo,"https://pbs.twimg.com/media/GM_uPIuWoAAmFwI?format=jpg&name=360x360, https://pbs.twimg.com/media/GM_uPIuWoAAmFwI?format=jpg&name=360x360",,,,32,https://twitter.com/JDCastilllo/status/1788054243804414022,https://twitter.com/JDCastilllo,"Si me dieran una moneda por cada vez que un Lgbt murio a manos de otro LGBT tendría 2 monedas... no es mucho, pero es raro que haya pasado 2 veces.",7 may.,2024-05-08T03:52:06.000Z
Frank,@Cisco2487,,,1,,38,https://twitter.com/Cisco2487/status/1788961031575724087,https://twitter.com/Cisco2487,"Tantos artistas mujeres, latinos, negros y lgbt con historias, libretos y personajes originales geniales esperando una oportunidad de editoras y productoras. Pero la yeyesada blanca y progre, la mayoría racistas de closet, creen que cambiar la raza a un char es la solución.",10 may.,2024-05-10T15:55:21.000Z
Carlos,@Carlos007___,,,4,7,132,https://twitter.com/Carlos007___/status/1786995760816333102,https://twitter.com/Carlos007___,NO VASSSSS LGBT,5 may.,2024-05-05T05:46:04.000Z
Caro,@yadiacarolina,,,3,4,973,https://twitter.com/yadiacarolina/status/1789670681564586088,https://twitter.com/yadiacarolina,"perdió mucho votos de la población LGBT con su discurso, la comunidad LGBT votante en Panamá son aproximadamente entre el 10% al 15%",18h,2024-05-12T14:55:15.000Z
Pietro the Racc,@gabo_olayvar,,,4,1,136,https://twitter.com/gabo_olayvar/status/1788652326762291351,https://twitter.com/gabo_olayvar,"5G COVID-19 mascarillas NWO tierraplanista ivermectina adrenocromo hidrocloriquina ONU Ucrania Satanás apagones Trump agenda 20-30 LGBT communista N95 ideología de genero chemtrail Qanon 2012 CNN Palestina

esto es un word salad de las cosas que veo aquí, parece un fucking bingo",9 may.,2024-05-09T19:28:40.000Z
Dr. Ñeque ゴ ゴ ゴ ゴ,@dr_neque,,,10,,178,https://twitter.com/dr_neque/status/1787920231765037165,https://twitter.com/dr_neque,Tengo dibujos de personajes lgbt que tienen 40 veces mas likes que los votos que saco tu esposo.,7 may.,2024-05-07T18:59:35.000Z
Victor Fernández-C.,@victorfercon,"https://pbs.twimg.com/media/GMygl48WoAAIk-m?format=jpg&name=small, https://pbs.twimg.com/media/GMygl48WoAAIk-m?format=jpg&name=small",,,,21,https://twitter.com/victorfercon/status/1786986269458980973,https://twitter.com/victorfercon,"Y lo malo de cierto candidato es que hasta hace unas semanas indicaba apoyo a movimiento LGBT etc incluyendo matrimonio del mismo sexo, aborto, etc. Aunque ahora lo niega. La pregunta es cómo creerle cuando cambia de opinión repentinamente.",5 may.,2024-05-05T05:08:21.000Z
Gueisha,@Gueisha3,,,1,3,66,https://twitter.com/Gueisha3/status/1787254984838398227,https://twitter.com/Gueisha3,Lombana es pro lgbt así que np va,5 may.,2024-05-05T22:56:08.000Z
Carlos,@Carlos007___,,,,,8,https://twitter.com/Carlos007___/status/1787281370701541629,https://twitter.com/Carlos007___,LLORAAAAA Q TÚ LGBT SE JODIÓ,5 may.,2024-05-06T00:40:59.000Z
Peter,@pedrofrancou,,1,12,,386,https://twitter.com/pedrofrancou/status/1787839088004903100,https://twitter.com/pedrofrancou,"Me sorprende que todas esas cuentas homofóbicas que expresaron odio durante las elecciones sobre los candidatos que ellos consideran progresistas o LGBT, no están haciendo el mismo escándalo porque salió Arquesio Arias. Pero bueno, así hay mucha gente en Panamá.",7 may.,2024-05-07T13:37:09.000Z
Carlos,@Carlos007___,,,,,18,https://twitter.com/Carlos007___/status/1787091556186341523,https://twitter.com/Carlos007___,Larga con tu LGBT,5 may.,2024-05-05T12:06:44.000Z
Arthur,@Arthur_50716,,,6,,193,https://twitter.com/Arthur_50716/status/1788372101184852267,https://twitter.com/Arthur_50716,"Mayer Alcalde no es nada gay y no tiene nada en contra de los LGBT, al contrario pero tú aquí botando veneno. Juzgando y hablando cosas que no son",8 may.,2024-05-09T00:55:09.000Z
Cursar,@CursarEstelar,,,1,1,21,https://twitter.com/CursarEstelar/status/1787214370210005060,https://twitter.com/CursarEstelar,si Amazon se van a cargar la franquicia por al menos podría ser en nuestro términos. o prefieres que sea de la manera que la van a hacer metiendo LGBT hasta por los orificios no existente de los necrones.,5 may.,2024-05-05T20:14:45.000Z
Shirley King,@Shirley0331,,,,,3,https://twitter.com/Shirley0331/status/1787463163723624878,https://twitter.com/Shirley0331,"El ""ñaño"" es Meneses? Pero eligieron a Ia que es lgbt y va contra Dios",6 may.,2024-05-06T12:43:22.000Z
Carlos,@Carlos007___,,,,,4,https://twitter.com/Carlos007___/status/1787513682785616352,https://twitter.com/Carlos007___,A llorar al cementerio  que tú LGBT no se postulará mas,6 may.,2024-05-06T16:04:07.000Z
efimero2008,@efimero2008,,,3,,210,https://twitter.com/efimero2008/status/1787673843743576191,https://twitter.com/efimero2008,"Creo que con una bancada de independientes en la asamblea y tanta juventud y mente expandida de ellos a mejorar el país, creo que puede ocurrir, si en este quinquenio no ocurre dudo que la comunidad LGBT de  Panamá obtenga ese beneficio en otro momento.",6 may.,2024-05-07T02:40:32.000Z
Roderick,@r05_95,,,,,36,https://twitter.com/r05_95/status/1788386778103099855,https://twitter.com/r05_95,"Linda para referirte a raro rara tienes la cara tú y estás casada payasa ? Una persona a cual llamas LGBT es más inteligente que está más preparados que tú para que una cualquiera como tú , Tenga la osadía de criticar",8 may.,2024-05-09T01:53:29.000Z
