Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Bri,@waawii29,,1.0,5.0,,125,https://twitter.com/waawii29/status/1789794784040702439,https://twitter.com/waawii29,"En las estaciones del metro debería haber baños, pero como algunas personas de este país son tan cochinos y se comportan como animales, quitan todas las posibilidades. Los odio, no buscan avanzar ni por ellos ni por uno.",9h,2024-05-12T23:08:23.000Z
OCEANOGENIC,@ocharpen,"https://pbs.twimg.com/media/GNFxtOYWYAAHcXb?format=jpg&name=small, https://pbs.twimg.com/media/GNFxtOYWYAAHcXb?format=jpg&name=small",,,,11,https://twitter.com/ocharpen/status/1788335554318278775,https://twitter.com/ocharpen,"NO SABEN LO QUE HACEN
lo nuevo
SON LA NUEVAS TECNOLOGÍAS
cuya gloria
ES PARA DIOS
porque la ciencia ya ha demostrado
QUE ESTAS MENTALIDADES
oportunistas pretendiendo siempre
ROBAR ESA GLORIA
son tan retrógradas
QUE DURANTE SUS 2000 SIGLOS
nos mantuvieron en ser
COMO ANIMALES",8 may.,2024-05-08T22:29:56.000Z
Cuchito,@CuchitoBonilla,,3.0,4.0,4.0,287,https://twitter.com/CuchitoBonilla/status/1787340902152753506,https://twitter.com/CuchitoBonilla,"No es que seamos violentos en las redes, el problema es que el HP Panameño en la mayoría son unos confirmados brutos y masoquistas y no entienden de otra manera. Sigan comiendo mierda con su elección de JRM. Vamos a ver como les va x animales.....",5 may.,2024-05-06T04:37:32.000Z
𝕭𝖊𝖙𝖔 𝕲𝖔𝖓𝖟,@betog0nz,"https://pbs.twimg.com/ext_tw_video_thumb/1717826707854594048/pu/img/VIXkHOM-2gyN6OBp.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1717826707854594048/pu/img/VIXkHOM-2gyN6OBp.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1717826707854594048/pu/img/VIXkHOM-2gyN6OBp.jpg",2.0,57.0,,2 mil,https://twitter.com/betog0nz/status/1788947484061917290,https://twitter.com/betog0nz,Yo sé que estos animales son maltratados en cautiverio pero como vas a hacer eso en una foto?,10 may.,2024-05-10T15:01:31.000Z
Asociación Endometriosis Panamá,@EndometriosisPA,,2.0,1.0,,,https://twitter.com/EndometriosisPA/status/1282453953851138053,https://twitter.com/EndometriosisPA,"#EndoTips nos falta la segunda parte!
.
#Repost @endocolombia
• • • • • •
Los disruptores endocrinos son sustancias químicas capaces de alterar el sistema hormonal, tanto en seres humanos como en animales,… https://instagram.com/p/CChDG2wBOQZ/?igshid=a7uj63hey58u…",12 jul. 2020,2020-07-12T23:17:04.000Z
Mariangeluz MS,@Mariangeluz15,,,1.0,,117,https://twitter.com/Mariangeluz15/status/1787879095453335745,https://twitter.com/Mariangeluz15,Yo quisiera saber quiénes son la mitad de los Santiagueños animales que votaron por Itzelita como pa que estuviera tan reñido eso,7 may.,2024-05-07T16:16:08.000Z
Omar Alcázar,@unversogris,,,,,60,https://twitter.com/unversogris/status/1789435788905664837,https://twitter.com/unversogris,¿Cuantas veces en tu vida cotidiana eliges a una persona por sobre un animal? ¿Ha sido una decisión de vida o muerte? ¿O son puras perrerías que te inventas tiempo de que la gente mata personas y elige animales todos los dias? Aleluyos siempre dictando a la gente como vivir.,11 may.,2024-05-11T23:21:52.000Z
Tony Chung,@Moscatron,,,,1.0,15,https://twitter.com/Moscatron/status/1789712582619623909,https://twitter.com/Moscatron,"Ay vv pero tú también, ya sabes cómo son los animales al volante y te pones a joderlos",15h,2024-05-12T17:41:45.000Z
Cursar,@CursarEstelar,,,1.0,,64,https://twitter.com/CursarEstelar/status/1786984503958966442,https://twitter.com/CursarEstelar,"como debe ser, son animales peligrosos no solo los pitbull todo perro grande debe cumplir estas condiciones.",5 may.,2024-05-05T05:01:20.000Z
Traficologo Oeste,@TraficologoO,,1.0,,,,https://twitter.com/TraficologoO/status/1239707374602108929,https://twitter.com/TraficologoO,"¿Qué es un coronavirus?

Los coronavirus son una extensa familia de virus que pueden causar enfermedades tanto en animales como en humanos. En los humanos, se sabe que varios coronavirus causan infecciones… https://instagram.com/p/B90HgQ-pbeZ/?igshid=1voc1l16tmzxy…",16 mar. 2020,2020-03-17T00:17:25.000Z
Gueisha,@Gueisha3,,,2.0,2.0,833,https://twitter.com/Gueisha3/status/1789406010391630272,https://twitter.com/Gueisha3,Así mismo es princesa los animales son parte de la vida de una familia no parte de una familia ni tratarlos como hijos hermanos o cuantos se les ocurra estas son conceptos del wokismo,11 may.,2024-05-11T21:23:33.000Z
Spay Panama,@spaypanama,,,1.0,1.0,,https://twitter.com/spaypanama/status/1272581692411109376,https://twitter.com/spaypanama,"Los gatos son como los tatuajes. Siempre vas a querer uno más. Adopta, no compres. _arcgl
.
#adoptenocompre #rescata #esterilizarsalvavidas #adoptenocompre
. 
Estamos viendo mucha crueldad contra los animales por… https://instagram.com/p/CBdtA3SpnA-/?igshid=1s8us45ezzkd2…",15 jun. 2020,2020-06-15T17:28:13.000Z
Krishna West Panamá,@iskconpanama,,,,,,https://twitter.com/iskconpanama/status/1073425523336986625,https://twitter.com/iskconpanama,"Los dos deberes históricos graves de ISKCON son preservar nuestra tradición y adaptarse a los tiempos cambiantes. Los movimientos religiosos, tanto como los animales, se extinguirán si no… https://instagram.com/p/BrWnPo8ACDy/?utm_source=ig_twitter_share&igshid=65xszehi4sj9…",13 dic. 2018,2018-12-14T03:52:42.000Z
VAЯPANETV Ethiopia brand international,@VARPANET,,,,,,https://twitter.com/VARPANET/status/1043691714471448578,https://twitter.com/VARPANET,Porque el ser humano entra en rińa como si fueran animales al final ambos son seres vivos Somos una marca promovemos nuestra cultura y colores Afrodecendiente ®Varpanet Natural Mystic… https://instagram.com/p/BoDVuIphzc5/?utm_source=ig_twitter_share&igshid=1pg72r7kyhhz1…,22 sept. 2018,2018-09-23T02:41:10.000Z
Carolina Isabel Fonseca Vera,@CarolinaIsabelF,"https://pbs.twimg.com/media/EKU-f4nXUAE7tEY?format=jpg&name=small, https://pbs.twimg.com/media/EKU-f4nXUAE7tEY?format=jpg&name=small",,3.0,3.0,,https://twitter.com/CarolinaIsabelF/status/1199433599210213377,https://twitter.com/CarolinaIsabelF,"El punto es que no es una boa por la forma de la cabeza. Y usualmente las venenosas son coloridas, excepto las patocas y la X. 

Y no se de todo. Cómo por ejemplo no se del espacio, de aviones, armas o soccer. Pero de animales si sé. Me gustan. Que tiene eso de malo?",26 nov. 2019,2019-11-26T21:03:49.000Z
MERA,@meratatu_,https://pbs.twimg.com/ext_tw_video_thumb/1789691897113378816/pu/img/J-TMADYw51YvujAE.jpg,141.0,942,41.0,148 mil,https://twitter.com/meratatu_/status/1789692109949173991,https://twitter.com/meratatu_,"ALCALDE DE COLÓN MUESTRA SU CASA

Diógenes Galván piloto del Canal de Panamá y alcalde electo de Colón muestra como vive y a su familia 

Me gusta esta política abierta y transparente, me pregunto si nuestros honorables dinosaurios también podrían mostrar su",16h,2024-05-12T16:20:24.000Z
