Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Bri,@waawii29,,1,5,,125,https://twitter.com/waawii29/status/1789794784040702439,https://twitter.com/waawii29,"En las estaciones del metro debería haber baños, pero como algunas personas de este país son tan cochinos y se comportan como animales, quitan todas las posibilidades. Los odio, no buscan avanzar ni por ellos ni por uno.",9h,2024-05-12T23:08:23.000Z
OCEANOGENIC,@ocharpen,"https://pbs.twimg.com/media/GNFxtOYWYAAHcXb?format=jpg&name=small, https://pbs.twimg.com/media/GNFxtOYWYAAHcXb?format=jpg&name=small",,,,11,https://twitter.com/ocharpen/status/1788335554318278775,https://twitter.com/ocharpen,"NO SABEN LO QUE HACEN
lo nuevo
SON LA NUEVAS TECNOLOGÍAS
cuya gloria
ES PARA DIOS
porque la ciencia ya ha demostrado
QUE ESTAS MENTALIDADES
oportunistas pretendiendo siempre
ROBAR ESA GLORIA
son tan retrógradas
QUE DURANTE SUS 2000 SIGLOS
nos mantuvieron en ser
COMO ANIMALES",8 may.,2024-05-08T22:29:56.000Z
Cuchito,@CuchitoBonilla,,3,4,4,287,https://twitter.com/CuchitoBonilla/status/1787340902152753506,https://twitter.com/CuchitoBonilla,"No es que seamos violentos en las redes, el problema es que el HP Panameño en la mayoría son unos confirmados brutos y masoquistas y no entienden de otra manera. Sigan comiendo mierda con su elección de JRM. Vamos a ver como les va x animales.....",5 may.,2024-05-06T04:37:32.000Z
𝕭𝖊𝖙𝖔 𝕲𝖔𝖓𝖟,@betog0nz,"https://pbs.twimg.com/ext_tw_video_thumb/1717826707854594048/pu/img/VIXkHOM-2gyN6OBp.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1717826707854594048/pu/img/VIXkHOM-2gyN6OBp.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1717826707854594048/pu/img/VIXkHOM-2gyN6OBp.jpg",2,57,,2 mil,https://twitter.com/betog0nz/status/1788947484061917290,https://twitter.com/betog0nz,Yo sé que estos animales son maltratados en cautiverio pero como vas a hacer eso en una foto?,10 may.,2024-05-10T15:01:31.000Z
Asociación Endometriosis Panamá,@EndometriosisPA,,2,1,,,https://twitter.com/EndometriosisPA/status/1282453953851138053,https://twitter.com/EndometriosisPA,"#EndoTips nos falta la segunda parte!
.
#Repost @endocolombia
• • • • • •
Los disruptores endocrinos son sustancias químicas capaces de alterar el sistema hormonal, tanto en seres humanos como en animales,… https://instagram.com/p/CChDG2wBOQZ/?igshid=a7uj63hey58u…",12 jul. 2020,2020-07-12T23:17:04.000Z
Mariangeluz MS,@Mariangeluz15,,,1,,117,https://twitter.com/Mariangeluz15/status/1787879095453335745,https://twitter.com/Mariangeluz15,Yo quisiera saber quiénes son la mitad de los Santiagueños animales que votaron por Itzelita como pa que estuviera tan reñido eso,7 may.,2024-05-07T16:16:08.000Z
Omar Alcázar,@unversogris,,,,,60,https://twitter.com/unversogris/status/1789435788905664837,https://twitter.com/unversogris,¿Cuantas veces en tu vida cotidiana eliges a una persona por sobre un animal? ¿Ha sido una decisión de vida o muerte? ¿O son puras perrerías que te inventas tiempo de que la gente mata personas y elige animales todos los dias? Aleluyos siempre dictando a la gente como vivir.,11 may.,2024-05-11T23:21:52.000Z
Tony Chung,@Moscatron,,,,1,15,https://twitter.com/Moscatron/status/1789712582619623909,https://twitter.com/Moscatron,"Ay vv pero tú también, ya sabes cómo son los animales al volante y te pones a joderlos",15h,2024-05-12T17:41:45.000Z
Cursar,@CursarEstelar,,,1,,64,https://twitter.com/CursarEstelar/status/1786984503958966442,https://twitter.com/CursarEstelar,"como debe ser, son animales peligrosos no solo los pitbull todo perro grande debe cumplir estas condiciones.",5 may.,2024-05-05T05:01:20.000Z
Traficologo Oeste,@TraficologoO,,1,,,,https://twitter.com/TraficologoO/status/1239707374602108929,https://twitter.com/TraficologoO,"¿Qué es un coronavirus?

Los coronavirus son una extensa familia de virus que pueden causar enfermedades tanto en animales como en humanos. En los humanos, se sabe que varios coronavirus causan infecciones… https://instagram.com/p/B90HgQ-pbeZ/?igshid=1voc1l16tmzxy…",16 mar. 2020,2020-03-17T00:17:25.000Z
