Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
MERA,@meratatu_,https://pbs.twimg.com/ext_tw_video_thumb/1789691897113378816/pu/img/J-TMADYw51YvujAE.jpg,141,942,41,148 mil,https://twitter.com/meratatu_/status/1789692109949173991,https://twitter.com/meratatu_,"ALCALDE DE COLÓN MUESTRA SU CASA

Diógenes Galván piloto del Canal de Panamá y alcalde electo de Colón muestra como vive y a su familia 

Me gusta esta política abierta y transparente, me pregunto si nuestros honorables dinosaurios también podrían mostrar su",16h,2024-05-12T16:20:24.000Z
𝐀𝐥𝐟𝐫𝐞𝐝𝐨 𝐌𝐨𝐭𝐭𝐚 ن ✠,@AMOTTAPTY,"https://pbs.twimg.com/media/GNTEcOHW8AAmN97?format=jpg&name=360x360, https://pbs.twimg.com/media/GNTEcOHW8AAmN97?format=jpg&name=360x360",82,336,35,17 mil,https://twitter.com/AMOTTAPTY/status/1789270949121946036,https://twitter.com/AMOTTAPTY,"Hago un reconocimiento público a @Diogenesgalvann, alcalde electo de la ciudad de Colón.

Diógenes es un colonense que viene de una familia humilde de 9 hermanos, cuya abuela con el sudor de su frente levantó a sus nietos a punta de educación, todos los 9 nietos llegaron a ser…",11 may.,2024-05-11T12:26:51.000Z
Cris Rivera,@kreezyriv,"https://pbs.twimg.com/media/GM2c0TGXoAAx7qc?format=jpg&name=small, https://pbs.twimg.com/media/GM2c0TGXoAAx7qc?format=jpg&name=small",292,1 mil,104,57 mil,https://twitter.com/kreezyriv/status/1787257054312251855,https://twitter.com/kreezyriv,COLÓN DE LA PINGA,5 may.,2024-05-05T23:04:22.000Z
isa,@signo_deaire,"https://pbs.twimg.com/media/GM2wZNaXcAA6z54?format=jpg&name=small, https://pbs.twimg.com/media/GM2wZNaXcAA6z54?format=jpg&name=small",3,6,1,236,https://twitter.com/signo_deaire/status/1787278578893168984,https://twitter.com/signo_deaire,"“extingan las comarcas y colon” fren en panama y panama oeste que eran regiones mas importantes, tampoco ganó lombana  callate la boca",5 may.,2024-05-06T00:29:53.000Z
Procuraduría General de la Nación,@PGN_PANAMA,"https://pbs.twimg.com/media/GNZ06d3WEAA9Z7T?format=jpg&name=small, https://pbs.twimg.com/media/GNZ06d3WEAA9Z7T?format=jpg&name=small",,1,,473,https://twitter.com/PGN_PANAMA/status/1789746469290799495,https://twitter.com/PGN_PANAMA,"#Detención| Sección de Homicidio y Femicidio de Colón y Guna Yala logró la detención provisional para un hombre extraditado desde Colombia, imputado por homicidio, tentativa de homicidio, robo, privación de libertad y asociación ilícita, ocurridos en el año 2022, en Colón.",13h,2024-05-12T19:56:24.000Z
Rocks D. Warito,@Warito13,"https://pbs.twimg.com/media/GM3BM0dXAAAUVOB?format=jpg&name=small, https://pbs.twimg.com/media/GM3BM0dXAAAUVOB?format=jpg&name=small",,,,92,https://twitter.com/Warito13/status/1787297058136657921,https://twitter.com/Warito13,Bien Colón!,5 may.,2024-05-06T01:43:19.000Z
Badgirlbucal,@QueenGambit12,,72,261,57,15 mil,https://twitter.com/QueenGambit12/status/1789179109798445448,https://twitter.com/QueenGambit12,"Nunca jamás voy a aceptar a Mulino como presidente, su campaña de basó en el respaldo de un ladrón asilado. Tiene en su círculo cero gente corrupta y jamás ha pagado el daño que hizo en San Felix y Colón de la gente que murió y perdió la vista. Un discurso de mierda no me compra.",11 may.,2024-05-11T06:21:55.000Z
fanny,@esteeeppppp,https://pbs.twimg.com/tweet_video_thumb/GM1tZvVXoAElpph.jpg,,4,,1 mil,https://twitter.com/esteeeppppp/status/1787204922166964229,https://twitter.com/esteeeppppp,si alex lee y bolota vuelven a ganar cambiare mi residencia para arraijan que pereza q colon quiera seguir en las mismas,5 may.,2024-05-05T19:37:12.000Z
Telemetro Reporta,@TReporta,https://pbs.twimg.com/media/GNO6OA9XsAAchxR?format=jpg&name=360x360,2,3,1,2 mil,https://twitter.com/TReporta/status/1788978261151592493,https://twitter.com/TReporta,"Un camión colisionó contra el tren de carga en Los 4 Altos de Colón, generando congestionamiento vehicular. #TReporta",10 may.,2024-05-10T17:03:49.000Z
ALEXIS E. SANCHEZ,@AESCHORRERA,https://pbs.twimg.com/media/GNFivZbXQAMWhbL?format=jpg&name=small,,,,67,https://twitter.com/AESCHORRERA/status/1788321678675615885,https://twitter.com/AESCHORRERA,"Camino a Tierra Oscura, Bocas del Toro, veo estos 2 yates. Se q Mark compro a un millonario Russo uno.
¿Q hace Mark Zuckerberg en Isla Colon? No creo que venga ese yate sin el. Algo huele mal en Dinamarca, es en Bocas del Toro.
@FernandoCorreaJ @MiguelABernalV @criticaenlinea",8 may.,2024-05-08T21:34:48.000Z
Queen in the North,@MayiiRoses,"https://pbs.twimg.com/media/GM3S643XgAA9wkZ?format=jpg&name=360x360, https://pbs.twimg.com/media/GM3S643XgAA9wkZ?format=jpg&name=360x360",17,40,2,1 mil,https://twitter.com/MayiiRoses/status/1787316544919237017,https://twitter.com/MayiiRoses,BUENO AZUERO PERO QUE HABLAN DE COLÓN SI USTEDES MIREN LO QUE ELIGIERON,5 may.,2024-05-06T03:00:45.000Z
CfranciscoG,@CFranciscoG,https://pbs.twimg.com/ext_tw_video_thumb/1786977124135358465/pu/img/EAJmcUR298K_CEVL.jpg,,,,29,https://twitter.com/CFranciscoG/status/1786977157249404935,https://twitter.com/CFranciscoG,Esa es tu gente COLON!,4 may.,2024-05-05T04:32:09.000Z
Ros 3xColon,@roselapatricia,"https://pbs.twimg.com/media/GNTek0JWAAE-RHx?format=jpg&name=small, https://pbs.twimg.com/media/GNTek0JWAAE-RHx?format=jpg&name=small",,2,,31,https://twitter.com/roselapatricia/status/1789299679286493564,https://twitter.com/roselapatricia,"En el año 2021 estos 2 maravillosos jóvenes aceptaron la invitacion a Colón, creo que fue su primera visita como oradores a la Sede de Colón, y definitivamente señores Panamá, tiene un brillante futuro.",11 may.,2024-05-11T14:21:01.000Z
Diario Critica.Pa,@criticaenlinea,"https://pbs.twimg.com/media/GNEo21_WMAAkOCj?format=jpg&name=small, https://pbs.twimg.com/media/GNEo21_WMAAkOCj?format=jpg&name=small",9,17,8,5 mil,https://twitter.com/criticaenlinea/status/1788255452305777124,https://twitter.com/criticaenlinea,"#LOÚLTIMO Balacera en Arco Iris, Colón, cerca a la Universidad. @renebellido #EnDesarrollo",8 may.,2024-05-08T17:11:38.000Z
Senan Panamá,@SENANPanama,https://pbs.twimg.com/media/GNQ2FUpXsAAm2fh?format=jpg&name=360x360,27,10,,529,https://twitter.com/SENANPanama/status/1789114425535848689,https://twitter.com/SENANPanama,"#Colón | Unidades del Destacamento #Aeronaval de La Guaira, efectúan  recorridos preventivos dentro de este sector con la finalidad de preservar la seguridad y tranquilidad de los moradores.

#UnPanamáMejor",10 may.,2024-05-11T02:04:53.000Z
Senan Panamá,@SENANPanama,https://pbs.twimg.com/media/GM_zUCeXIAALW_g?format=jpg&name=small,43,22,,561,https://twitter.com/SENANPanama/status/1787915107000844790,https://twitter.com/SENANPanama,"#Colón | #Aeronavales de la 3ra. Zona, mediante recorrido en el Corregimiento de Nombre de Dios, realizaron la conducción de un ciudadano; el mismo al ser verificado a través del sistema PDA, arrojó un caso pendiente; fue puesto a órdenes de las autoridades competentes.",7 may.,2024-05-07T18:39:14.000Z
CSSPanama,@CSSPanama,https://pbs.twimg.com/media/GNOXleRXoAE6Nz8?format=jpg&name=small,,5,1,779,https://twitter.com/CSSPanama/status/1788954649296589124,https://twitter.com/CSSPanama,"#Colón 
Paramédicos del Departamento Nacional de Gestión de Emergencias, Desastres y Transporte de Pacientes (DENGEDTP), se capacitan sobre el uso del ultrasonido y protocolo FAST, para pacientes con traumas impartido por médicos especialistas en urgencias médico-quirúrgico.",10 may.,2024-05-10T15:30:00.000Z
Senan Panamá,@SENANPanama,"https://pbs.twimg.com/media/GNAgja0WYAAD7rr?format=jpg&name=small, https://pbs.twimg.com/media/GNAgja0WYAAD7rr?format=jpg&name=small",35,18,,787,https://twitter.com/SENANPanama/status/1787964850678730967,https://twitter.com/SENANPanama,"#Comunicado | #Senan informa a la ciudadanía, sobre el incidente ocurrido en el distrito de Santa Isabel, provincia de #Colón.

#NoAlDelito",7 may.,2024-05-07T21:56:53.000Z
Rodolfo Ayarza,@rodayarza,"https://pbs.twimg.com/media/GM1RneRXoAAu5Gf?format=jpg&name=900x900, https://pbs.twimg.com/media/GM1RneRXoAAu5Gf?format=jpg&name=900x900",,1,,149,https://twitter.com/rodayarza/status/1787174376862871566,https://twitter.com/rodayarza,Igual los de Bolota en Colón... es un parking más...,5 may.,2024-05-05T17:35:50.000Z
mei,@meibisrods,"https://pbs.twimg.com/media/GM25ZGAXAAA6Ter?format=jpg&name=900x900, https://pbs.twimg.com/media/GM25ZGAXAAA6Ter?format=jpg&name=900x900",,,,141,https://twitter.com/meibisrods/status/1787288471947686346,https://twitter.com/meibisrods,"Que de 1 mesa en Colón no haya salido Alex Lee en ningún voto, me da esperanza. ESPEREMOSSS…",5 may.,2024-05-06T01:09:12.000Z
Ricardo Lombana,@RicardoLombanaG,https://pbs.twimg.com/amplify_video_thumb/1787165810273775616/img/GzH5Bz0ahK8H51Kj.jpg,4,80,3,4 mil,https://twitter.com/RicardoLombanaG/status/1787165941043786134,https://twitter.com/RicardoLombanaG,"Desde Colón, estamos acompañando al próximo vice presidente de Panamá a votar en el Abel Bravo. Él representa a la juventud, a esa juventud que hoy sale a cambiar el rumbo del país.",5 may.,2024-05-05T17:02:18.000Z
Senan Panamá,@SENANPanama,https://pbs.twimg.com/media/GM55gkRX0AENlmE?format=jpg&name=small,43,23,,607,https://twitter.com/SENANPanama/status/1787499708866257315,https://twitter.com/SENANPanama,"#Colón | #Aeronavales de la 3ra. Zona, realizaron la aprehensión y conducción de un ciudadano, por el delito de violencia de género, en el Corregimiento de Nombre de Dios, Distrito de Santa Isabel; el mismo fue puesto a órdenes de las autoridades correspondientes.",6 may.,2024-05-06T15:08:35.000Z
x162z,@xx1721awy,https://pbs.twimg.com/media/GM2lL3sXUAAldfu?format=jpg&name=small,,2,,48,https://twitter.com/xx1721awy/status/1787266262717931738,https://twitter.com/xx1721awy,Maldito colón por eso perdieron las finales con Chiriquí en el baseball,5 may.,2024-05-05T23:40:57.000Z
Nex Noticias,@nexnoticias,"https://pbs.twimg.com/media/GNPTv6FW4AA9r4A?format=jpg&name=small, https://pbs.twimg.com/media/GNPTv6FW4AA9r4A?format=jpg&name=small",2,10,,1 mil,https://twitter.com/nexnoticias/status/1789006391941734664,https://twitter.com/nexnoticias,Recolección de basura en Colón se cobrará en la factura de ENSA https://acortar.link/S2K0yV #NexNoticias,10 may.,2024-05-10T18:55:36.000Z
IDAAN,@IDAANinforma,"https://pbs.twimg.com/media/GM0QStcWoAAXEcA?format=jpg&name=small, https://pbs.twimg.com/media/GM0QStcWoAAXEcA?format=jpg&name=small",1,3,1,2 mil,https://twitter.com/IDAANinforma/status/1787102543266410672,https://twitter.com/IDAANinforma,"#Colón: Se registra daño de tubería de 12 pulgadas ubicada en la salida de la autopista. Se afecta el suministro de agua potable en: Providencia, Quebrada López, Los Pinos, Multifamiliares, Nueva Italia, Río Rita Sur y Norte (partes bajas), Villa Limón y Aguas Claras.
@311Panama",5 may.,2024-05-05T12:50:23.000Z
Telemetro Reporta,@TReporta,"https://pbs.twimg.com/media/GNT0ag1XgAA0a9w?format=jpg&name=small, https://pbs.twimg.com/media/GNT0ag1XgAA0a9w?format=jpg&name=small",3,7,1,2 mil,https://twitter.com/TReporta/status/1789325460481982898,https://twitter.com/TReporta,"Para este sábado se esperan lluvias fuertes en Darién, comarca Guna Yala, Colón y Panamá. 
También se prevén tormentas en Panamá Oeste, provincias centrales y la región occidental del país. @imhpapma @Sinaproc_Panama #TReporta",11 may.,2024-05-11T16:03:28.000Z
