Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Pola,@navy_direction,"https://pbs.twimg.com/media/GNEAhdfWUAAzmhZ?format=jpg&name=small, https://pbs.twimg.com/media/GNEAhdfWUAAzmhZ?format=jpg&name=small",,,,8,https://twitter.com/navy_direction/status/1788211108857225303,https://twitter.com/navy_direction,Son tan estupido que tienen que recurrir a un chiste todo en pinga como su fkn partido de la verga,9h,2024-05-08T14:15:26.000Z
Frank Troya,@FrankTroya,"https://pbs.twimg.com/media/GNE6u55XkAEAJIw?format=jpg&name=small, https://pbs.twimg.com/media/GNE6u55XkAEAJIw?format=jpg&name=small",,7,1,440,https://twitter.com/FrankTroya/status/1788275121100062768,https://twitter.com/FrankTroya,"¿Ustedes me van a decir que ahora las placas se usan más tiempo, pero de igual forma cada año hay que tramitar este estúpido sticker?
Alguien que se le prenda el foco y nos AHORRE dinero porque ahorita eso es lo que NO hay, por favor.",5h,2024-05-08T18:29:48.000Z
sua,@suaneeett,"https://pbs.twimg.com/ext_tw_video_thumb/1786275373916848128/pu/img/qykWLUrO2BtncWH0.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1786275373916848128/pu/img/qykWLUrO2BtncWH0.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1786275373916848128/pu/img/qykWLUrO2BtncWH0.jpg",,,,40,https://twitter.com/suaneeett/status/1786275449259065581,https://twitter.com/suaneeett,"las BARRABASADAS que se pone a decir gaby en su cierre de campaña, en vez de ponerse a hablar sobre su partido y sus propuestas a futuro, es q no se puede ser más IMPRUDENTE y ESTÚPIDO",3 may.,2024-05-03T06:03:49.000Z
Rodrigo O.,@Rodrigo202090,"https://pbs.twimg.com/media/GMwL2drXkAA-CIj?format=jpg&name=small, https://pbs.twimg.com/media/GMwL2drXkAA-CIj?format=jpg&name=small",,,,47,https://twitter.com/Rodrigo202090/status/1786816184580522420,https://twitter.com/Rodrigo202090,Si no tas seguro realiza tu ANÁLISIS FODA de cada uno de ellos!... en lo particular me voy por el VOTO JOVEN es my estúpido VOTAR POR LOS MISMOS VERDUGOS DE LOS ÚLTIMOS 40 AÑOS!....,4 may.,2024-05-04T17:52:30.000Z
No Mas Corruptos,@DrakeThon8,"https://pbs.twimg.com/media/GMrZnnYXUAA2P3D?format=jpg&name=small, https://pbs.twimg.com/media/GMrZnnYXUAA2P3D?format=jpg&name=small",,,,2,https://twitter.com/DrakeThon8/status/1786479486587867155,https://twitter.com/DrakeThon8,JUBILADOS ENGAÑADOS POR LOS  IPOCRITAS QUE TE SUBIERON LOS IMPUESTOS  Y SE ROBARON MILLONES EN COIMAS  LAVARON DINERO  Y  SIGUEN ENGAÑANDOTE   Y TU LES CREE  ENAMORADO  ASI ES PANAMEÑO ESTUPIDO QUE  VA A DICTADURA RMB Y MOLINO,3 may.,2024-05-03T19:34:35.000Z
Erick,@EKozzo,"https://pbs.twimg.com/media/GMwOdD8WkAAT9rv?format=jpg&name=360x360, https://pbs.twimg.com/media/GMwOdD8WkAAT9rv?format=jpg&name=360x360",2,2,,536,https://twitter.com/EKozzo/status/1786933062867021977,https://twitter.com/EKozzo,"Chucha los odio fren, mientras tanto uno viendo como verga se compra uno a un costo estupido",4 may.,2024-05-05T01:36:56.000Z
Dra. Elia,@Elisworldx,https://pbs.twimg.com/tweet_video_thumb/GM2oyNmW4AAVEvL.jpg,,2,,66,https://twitter.com/Elisworldx/status/1787270214075261435,https://twitter.com/Elisworldx,Wao cuánto estupido en Panamá… de verdad que no comen pasto porque el cuello no les da… Maligno no debería ni figurar,5 may.,2024-05-05T23:56:39.000Z
𝖌𝖍𝖔𝖘𝖙,@idnpty,,7,17,1,763,https://twitter.com/idnpty/status/1787654446777786867,https://twitter.com/idnpty,"Lo más loco de toda esta situación es, por qué chucha el tribunal permitió este juego estupido de contar actas hasta 4 veces??????",6 may.,2024-05-07T01:23:27.000Z
Humberto Pelaez,@humbertopelaez,,127,549,125,24 mil,https://twitter.com/humbertopelaez/status/1785687635060478395,https://twitter.com/humbertopelaez,"Gente, bájenle 2 al odio y a los insultos. El q no va x Lombana, no es estúpido ni ladrón ni su mamá tiene nada q ver en eso, solo apoya a otro candidato y sus motivos tendrá y ya! 

Disfrutemos d nuestra democracia y d la libertad q tenemos de opinar y votar x quién queramos.",1 may.,2024-05-01T15:08:03.000Z
Selecta Rookie,@djselectarookie,,,2,,80,https://twitter.com/djselectarookie/status/1787295345715576912,https://twitter.com/djselectarookie,Ya no salgo más en una ijueputa protesta donde casi me saco la chucha en una zanja y me da un infarto porque no tenía aire por andar corriendo como estúpido,5 may.,2024-05-06T01:36:31.000Z
Eliseo_R.Pitti30,@Cheitop30,,,1,,43,https://twitter.com/Cheitop30/status/1788029735269732413,https://twitter.com/Cheitop30,Y el comentario estúpido del dia es gracias a  https://x.com/tonyvargaspty//tonyvargaspty/status/1788008540981940342…,21h,2024-05-08T02:14:43.000Z
No Mas Corruptos,@DrakeThon8,https://pbs.twimg.com/media/GMwfEbwXIAAigJO?format=jpg&name=small,,,,6,https://twitter.com/DrakeThon8/status/1786837578810843394,https://twitter.com/DrakeThon8,EL QUE VOTA POR RMB  ESTA VOTANDO POR UNA DICTADURA  RMB AMANTE DE LA IDIOLOGIA DE HITLER  EL GENOSIDA DE LOS JUDIOS   QUE ALGUIEN ME EXPLIQUE ESTO DE ESTE ESTUPIDO LEYENDO LAS ENSEÑANSA DE COMO SER UN ASESINO HUMANO,4 may.,2024-05-04T19:17:31.000Z
Leslie,@leslyivanovaa,,1,4,,120,https://twitter.com/leslyivanovaa/status/1787259107595927884,https://twitter.com/leslyivanovaa,Nos condenaron con un viejo prepotente y autoritario por su estúpido fanatismo a un maleante que debería estar preso y está escondido en una embajada de un dictador para no ir preso. Que hp desgracia la gente bruta en este país cha madre. Sepan que una verga van a tener plata,5 may.,2024-05-05T23:12:31.000Z
Jaime Blaney Haayen,@jaimeblaneyh,,,,,42,https://twitter.com/jaimeblaneyh/status/1787295347888312340,https://twitter.com/jaimeblaneyh,"como decía Carville: “es la economía, estúpido”",5 may.,2024-05-06T01:36:31.000Z
**DARK_LEONA22**,@Anamaturana22,,1,14,10,571,https://twitter.com/Anamaturana22/status/1787418092886253970,https://twitter.com/Anamaturana22,"¿Y si hablamos de que PINEDA sacó el PU TO MEDIO COSCIENTE en SM y se pudo REELEGIR porque su estúpido CLIENTELISMO y ser un mafioso puede más q la razón ?
O 
¿Ya de plano mejor nos tiramos del puente de las Américas por turnos, empezando con la letra A.

Ah coño,YO misma soy..",6 may.,2024-05-06T09:44:16.000Z
Armando,@Boogiepop_1112,,3,4,,215,https://twitter.com/Boogiepop_1112/status/1787300371884396993,https://twitter.com/Boogiepop_1112,No es democracia si ustedes son unos imbéciles que dejaron a un estúpido correr cuando no llenaba los requisitos,5 may.,2024-05-06T01:56:29.000Z
Luigi,@lkarra08,,,1,,16,https://twitter.com/lkarra08/status/1787505071787307425,https://twitter.com/lkarra08,Me quedo con la satisfacción que me da ver la cara de Gaby de estúpido,6 may.,2024-05-06T15:29:54.000Z
𝒈𝒊𝒔𝒆𝒍𝒍,@gisellariadna_,,,2,,86,https://twitter.com/gisellariadna_/status/1787261936477884743,https://twitter.com/gisellariadna_,el panameño es estúpido. que pena.,5 may.,2024-05-05T23:23:46.000Z
ed,@r219905,,,,,328,https://twitter.com/r219905/status/1788215978020483453,https://twitter.com/r219905,Fren JAJAJAJA este man más estupido no puede ser y cree q los demás son los que están mal,9h,2024-05-08T14:34:47.000Z
M,@medardito,,129,614,36,21 mil,https://twitter.com/medardito/status/1787580391353651348,https://twitter.com/medardito,"Independientemente de si Mulino fuera o no nuestro candidato favorito y de q no esperamos nada bueno de él, es estúpido desear que haga un mal gobierno solo para demostrar que teníamos razón, sabiendo q nuestros próximos 5 años dependen directamente de si hace bien o no las cosas",6 may.,2024-05-06T20:29:11.000Z
𝓜𝓻. 𝓢𝓽𝓪𝓹𝓵𝓮𝓼,@MrStaples_,,1,5,1,346,https://twitter.com/MrStaples_/status/1787241819014623296,https://twitter.com/MrStaples_,"Cha, el Panameño es estúpido",5 may.,2024-05-05T22:03:49.000Z
Eduardito,@eduardxh,,,,,46,https://twitter.com/eduardxh/status/1787324258479120789,https://twitter.com/eduardxh,Toy pa cuadrarme con cualquier Mulinista estupido,5 may.,2024-05-06T03:31:24.000Z
Ali,@aileen_janice,,,,,30,https://twitter.com/aileen_janice/status/1787006711242395843,https://twitter.com/aileen_janice,"Lo más estúpido que leí, Isa estaba para que le echaran hace rato, que agradezca que duro bastante, ya era hora si la tipa se arma películas solita, tan obsesionada con comerse a alguno que llego al límite de ACOSAR.",5 may.,2024-05-05T06:29:35.000Z
amerikkka most wanted,@saraathv,,2,3,,149,https://twitter.com/saraathv/status/1787239100283593113,https://twitter.com/saraathv,gana mulino y el primer estúpido o estúpida que se queje de no tener agua de no tener plata o no encuentra trabajo le grito en su weputa cara de cholo,5 may.,2024-05-05T21:53:01.000Z
Dana⋆,@Danacrb,,,1,,86,https://twitter.com/Danacrb/status/1787293491594179006,https://twitter.com/Danacrb,El panameño es estupido.,5 may.,2024-05-06T01:29:09.000Z
𝓚.,@k3ri_,"https://pbs.twimg.com/ext_tw_video_thumb/1785271652567113729/pu/img/KKXCN4XhYWpP91zj.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1785271652567113729/pu/img/KKXCN4XhYWpP91zj.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1785271652567113729/pu/img/KKXCN4XhYWpP91zj.jpg",,1,,203,https://twitter.com/k3ri_/status/1785395796218663395,https://twitter.com/k3ri_,Él que se cree esto definitivamente es estúpido,30 abr.,2024-04-30T19:48:23.000Z
