Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
sol,@solangestellam,,54,216,12,14 mil,https://twitter.com/solangestellam/status/1788310815633731655,https://twitter.com/solangestellam,yo nunca he entendido porque les gusta que su novio/marido/esposo las espere sentado en el salón de belleza  dejen ese hombre por allá oye,5h,2024-05-08T20:51:38.000Z
Diario Critica.Pa,@criticaenlinea,https://pbs.twimg.com/ext_tw_video_thumb/1788203035916677120/pu/img/WnxWdwONHhbFk6Zw.jpg,11,9,2,2 mil,https://twitter.com/criticaenlinea/status/1788203887213596776,https://twitter.com/criticaenlinea,"Tras el crimen en Tocumen se realizó un allanamiento en la casa donde residía el hombre. ¡Bingo! Encontraron los paquetes rectangulares que se presume contengan cocaína. 
https://critica.com.pa/sucesos/hombre-asesinado-en-tocumen-guardaba-77-paquetes-de-blanca-nieves-669668…",12h,2024-05-08T13:46:44.000Z
El Roskillas,@z0r_lord,"https://pbs.twimg.com/tweet_video_thumb/GNGQtm6W0AACwxC.jpg, https://pbs.twimg.com/tweet_video_thumb/GNGQtm6W0AACwxC.jpg, https://pbs.twimg.com/tweet_video_thumb/GNGQtm6W0AACwxC.jpg",,2,,56,https://twitter.com/z0r_lord/status/1788369649983255018,https://twitter.com/z0r_lord,"Mi idea para una trilogía de los 4 Fantásticos es

Primera Peli ambientada en el año 1969 y nos contaría los orígenes y El Hombre Topo como villano
Segunda Peli con Dr Doom como villano Y Mostrandonos al grupo ya más experimentados
Tercera Peli con Silver Surfer y Galactus",1h,2024-05-09T00:45:25.000Z
,@kittyxhand,"https://pbs.twimg.com/ext_tw_video_thumb/1787704854325989376/pu/img/fnWdIGYeW4vqej_P.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1787704854325989376/pu/img/fnWdIGYeW4vqej_P.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1787704854325989376/pu/img/fnWdIGYeW4vqej_P.jpg",,4,,305,https://twitter.com/kittyxhand/status/1788235323421463023,https://twitter.com/kittyxhand,estoy obsesionada con este hombre q ni conozco,10h,2024-05-08T15:51:39.000Z
Ojeras Leiva III,@coshomango,,4,9,1,227,https://twitter.com/coshomango/status/1788252949015146774,https://twitter.com/coshomango,el hombre que carece de propósito se distrae con el placer.,8h,2024-05-08T17:01:41.000Z
Uniqua Opina,@amoaki22,,,6,4,509,https://twitter.com/amoaki22/status/1788358550709764306,https://twitter.com/amoaki22,Necesito un hombre que quiera participar de mi podcast el viernes,1h,2024-05-09T00:01:19.000Z
Tráfico Panamá,@TraficoCPanama,"https://pbs.twimg.com/amplify_video_thumb/1786828891069313024/img/Zk8GbZwVvAzZjMfF.jpg, https://pbs.twimg.com/amplify_video_thumb/1786828891069313024/img/Zk8GbZwVvAzZjMfF.jpg, https://pbs.twimg.com/amplify_video_thumb/1786828891069313024/img/Zk8GbZwVvAzZjMfF.jpg",10,18,6,7 mil,https://twitter.com/TraficoCPanama/status/1786828954831101970,https://twitter.com/TraficoCPanama,"[VIDEO] En La Chorrera, el Minseg coordinó con personal médico para la atención de un hombre que fue atropellado en la ave. Libertador. Se coordinó con personal del SUME para la atención del afectado.",4 may.,2024-05-04T18:43:15.000Z
ＶａｐｏｒｕM (𝗧𝗛𝗘𝗬/𝗧𝗛𝗘𝗠),@SoyVaporum,"https://pbs.twimg.com/media/GM-65oOXMAAJrX9?format=jpg&name=small, https://pbs.twimg.com/media/GM-65oOXMAAJrX9?format=jpg&name=small",,7,1,268,https://twitter.com/SoyVaporum/status/1787853079364112834,https://twitter.com/SoyVaporum,"El que resultó poco hombre,  era otro.  https://x.com/Pat0zz/status//Pat0zz/status/1787567325333328205…",7 may.,2024-05-07T14:32:45.000Z
𝓛𝓾,@luciahm16,,18,26,,2 mil,https://twitter.com/luciahm16/status/1786943585469731105,https://twitter.com/luciahm16,Un hombre leal significa mucho para una mujer que no cree en nadie.,4 may.,2024-05-05T02:18:45.000Z
𝙹𝚘𝚜₊˚ʚ ᗢ₊˚✧ ﾟ,@isaacccs_,,,9,3,222,https://twitter.com/isaacccs_/status/1787691916299304977,https://twitter.com/isaacccs_,hombre dolido es cosa seria,6 may.,2024-05-07T03:52:21.000Z
