Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
DrMocci,@DrMocci,"https://pbs.twimg.com/media/GM3P8DBXMAA7sm-?format=jpg&name=small, https://pbs.twimg.com/media/GM3P8DBXMAA7sm-?format=jpg&name=small",81,224,87,15 mil,https://twitter.com/DrMocci/status/1787313262964408735,https://twitter.com/DrMocci,Desde indios brutos a cáncer de Panamá. Los lombalovers tienen que moderarse,5 may.,2024-05-06T02:47:43.000Z
𝓜𝓻. 𝓢𝓽𝓪𝓹𝓵𝓮𝓼,@MrStaples_,,445,1 mil,64,64 mil,https://twitter.com/MrStaples_/status/1787257842275176451,https://twitter.com/MrStaples_,Los españoles debieron esclavizar aún más a los indios,5 may.,2024-05-05T23:07:29.000Z
ʀᴏʀᴏɴᴏᴀ,@combo5piopio,,175,975,68,37 mil,https://twitter.com/combo5piopio/status/1787254052822102075,https://twitter.com/combo5piopio,Qué se puede esperar de esos indios que solo aspiran a trabajar en la italiana,5 may.,2024-05-05T22:52:26.000Z
Rocks D. Warito,@Warito13,"https://pbs.twimg.com/media/GM2w3QoXMAAtfzh?format=jpg&name=small, https://pbs.twimg.com/media/GM2w3QoXMAAtfzh?format=jpg&name=small",1,1,1,251,https://twitter.com/Warito13/status/1787279095333556481,https://twitter.com/Warito13,Toda la provincia de Panamá hizo el daño. Más allá de los indios.,5 may.,2024-05-06T00:31:57.000Z
K R I S S,@kristellk24,"https://pbs.twimg.com/media/GM2qgCpWoAA1Dl2?format=jpg&name=small, https://pbs.twimg.com/media/GM2qgCpWoAA1Dl2?format=jpg&name=small",,2,,291,https://twitter.com/kristellk24/status/1787272101646262345,https://twitter.com/kristellk24,"Los indios a los que reprimió Mulino, esos mismos le están dando el voto, va de primero en las comarcas. Queda claro que la gran mayoría que votaron por él son ineptos y con 0 coeficiente intelectual",5 may.,2024-05-06T00:04:09.000Z
Mimy.White,@MimyWhite16,,1,3,,41,https://twitter.com/MimyWhite16/status/1787300720502337813,https://twitter.com/MimyWhite16,"Los indios son BRUTOOOOOSS!!! Como pinga van a votar por molinooo!!! Chucha de sus MADREEEEES!!! Luego están cerrando las iwepvtas calles, Ayala pingaaaaa!!! Sáquenme del mundo..",5 may.,2024-05-06T01:57:52.000Z
Cristina I. Córdoba S.✿,@CristinaC30,,,1,,58,https://twitter.com/CristinaC30/status/1787299393827127711,https://twitter.com/CristinaC30,"Que los indios sigan comiendo mierda. 
Y cruzando los ríos a pata

Total eso es lo que merecen!

Bye…",5 may.,2024-05-06T01:52:36.000Z
Irze,@irzetapia,"https://pbs.twimg.com/media/GM58LxhXsAAHeO9?format=jpg&name=900x900, https://pbs.twimg.com/media/GM58LxhXsAAHeO9?format=jpg&name=900x900",6,14,2,1 mil,https://twitter.com/irzetapia/status/1787545421935497423,https://twitter.com/irzetapia,"Pero los ""indios son ignorantes"" , y los ""pobres son brutos""
Otra q se considera clase media, supongo",6 may.,2024-05-06T18:10:14.000Z
Ｅｌ ｃａｎｏｓｏ,@IamKeeviin14,,1,1,,114,https://twitter.com/IamKeeviin14/status/1787253517549293985,https://twitter.com/IamKeeviin14,"Y después dicen que uno es clasista, racista, etc., con los indíos de las comarcas PERO COMO XUXA VAN A VOTAR POR MULINO",5 may.,2024-05-05T22:50:18.000Z
Zoraya,@ZorayaDiaz1,,9,28,15,1 mil,https://twitter.com/ZorayaDiaz1/status/1787278612489478579,https://twitter.com/ZorayaDiaz1,Ojalá les dé palo a esos indios cuando cierren calles.,5 may.,2024-05-06T00:30:01.000Z
ᵂᴵᴸᴸᴵᴬᴹ,@SHARKCUTERO,,,2,,187,https://twitter.com/SHARKCUTERO/status/1787267916351607168,https://twitter.com/SHARKCUTERO,FOKINES INDIOS DE PINGA NO FUERON SUFICIENTES LOS PERDIGONES QUE LES METIERON,5 may.,2024-05-05T23:47:31.000Z
songorocosongo,@sofivii8,,,2,,89,https://twitter.com/sofivii8/status/1787265640392257551,https://twitter.com/sofivii8,el violador del arquersio areas ganando??????? nombe esos indios de la verga namas sirven pa coger sin condon,5 may.,2024-05-05T23:38:29.000Z
IF,@Mon_lz,,,,,20,https://twitter.com/Mon_lz/status/1787273036753748433,https://twitter.com/Mon_lz,ESOS INDIOS SE CAGAN EN EL PAIS…,5 may.,2024-05-06T00:07:52.000Z
Lorde stan acc,@ginisloom,,,,,8,https://twitter.com/ginisloom/status/1787264948495597877,https://twitter.com/ginisloom,Extingan a los indios,5 may.,2024-05-05T23:35:44.000Z
𝓜𝓻. 𝓢𝓽𝓪𝓹𝓵𝓮𝓼,@MrStaples_,,1,4,,306,https://twitter.com/MrStaples_/status/1787246178066694457,https://twitter.com/MrStaples_,Esos indios de la verga,5 may.,2024-05-05T22:21:08.000Z
