Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
El turkitoNews,@elturKitoMarket,https://pbs.twimg.com/ext_tw_video_thumb/1788571841453334529/pu/img/OcuRSYwbPdk1HCkH.jpg,,,,74,https://twitter.com/elturKitoMarket/status/1788571916308975719,https://twitter.com/elturKitoMarket,"# # #Santiago #Abascal 
Desde que llegó #Sánchez se han multiplicado por tres las #violaciones en #España
 Sacan a los violadores a la calle e implorarán a gente que desprecia a la mujer.
#españoles #europa #inmigrantes #elturkitonews",9 may.,2024-05-09T14:09:09.000Z
El turkitoNews,@elturKitoMarket,"https://pbs.twimg.com/ext_tw_video_thumb/1788605234295578624/pu/img/PoSKh19sAhniF9v3.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1788605234295578624/pu/img/PoSKh19sAhniF9v3.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1788605234295578624/pu/img/PoSKh19sAhniF9v3.jpg",,1,,64,https://twitter.com/elturKitoMarket/status/1788605254143009273,https://twitter.com/elturKitoMarket,"# # El gobierno de los #EstadosUnidos ha asegurado que el país vive con menos #delincuencia de los últimos 50 años.
 pese a que las estadísticas muestran que #NuevaYork Los #Ángeles se están viendo abarrotadas por delitos de menor y gran importancia, #inmigrantes
#eeuu",9 may.,2024-05-09T16:21:37.000Z
Don Benitez Mendez,@DonBenitezM,"https://pbs.twimg.com/media/GNKin6oW0AAz4ox?format=jpg&name=small, https://pbs.twimg.com/media/GNKin6oW0AAz4ox?format=jpg&name=small",,,,39,https://twitter.com/DonBenitezM/status/1788670913082216673,https://twitter.com/DonBenitezM,"INSÓLITO. La política alemana del partido AfD, Marie-Thérèse Kaiser, fue condenada y multada por más de 6.000 euros. ¿Su delito? Publicar estadísticas que muestren que los inmigrantes afganos están cometiendo agresiones sexuales de manera desproporcionada en Alemania.",9 may.,2024-05-09T20:42:32.000Z
Matías González,@matagonzalez86,"https://pbs.twimg.com/ext_tw_video_thumb/1787500833292111872/pu/img/DVtAK3bi0pMSMtHP.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1787500833292111872/pu/img/DVtAK3bi0pMSMtHP.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1787500833292111872/pu/img/DVtAK3bi0pMSMtHP.jpg",2,5,,161,https://twitter.com/matagonzalez86/status/1787538381582344566,https://twitter.com/matagonzalez86,"¿Le está diciendo ""no sé de donde sale el dato de que los inmigrantes violan y matan más mujeres en España pero dame un toque y te mandamos un MD""?¿de verdad?",6 may.,2024-05-06T17:42:15.000Z
Lord_kir17,@lord_kir17,"https://pbs.twimg.com/amplify_video_thumb/1787682540116992000/img/PKJ5X3geEfuidvTq.jpg, https://pbs.twimg.com/amplify_video_thumb/1787682540116992000/img/PKJ5X3geEfuidvTq.jpg, https://pbs.twimg.com/amplify_video_thumb/1787682540116992000/img/PKJ5X3geEfuidvTq.jpg",4,10,3,431,https://twitter.com/lord_kir17/status/1787943073055388158,https://twitter.com/lord_kir17,En Irlanda no se andan con vainas con los inmigrantes problemáticos.,7 may.,2024-05-07T20:30:21.000Z
Mr. Someone,@MaikJMunoz,,,4,1,179,https://twitter.com/MaikJMunoz/status/1787267979811467498,https://twitter.com/MaikJMunoz,"Darién hace años pide una solución para el problema de la frontera y los inmigrantes en el Tapón del Darién. 

*Proceden a votar por FUCKING MULINO.* 

¡¡¡QUÉ CHUCHA LES PASA!!!",5 may.,2024-05-05T23:47:46.000Z
David Saied,@davidsaied,,2,12,1,186,https://twitter.com/davidsaied/status/1788900684848341303,https://twitter.com/davidsaied,Me faltó lo de cerrar el Darién y deportar a los inmigrantes ilegales!!,10 may.,2024-05-10T11:55:34.000Z
Guido A. Rodriguez L. Nieto e hijo de inmigrantes.,@Guidoale1961,,10,28,6,2 mil,https://twitter.com/Guidoale1961/status/1789335333953323345,https://twitter.com/Guidoale1961,Una entrevista Waooo! Mis felicitaciones @edwincabrera y al equipo de @Panamaendirecto Hasta ahora que el tiempo y la agenda me permitieron verla. Simplemente fuera de serie. Aplausos de pie.,11 may.,2024-05-11T16:42:42.000Z
Deyvid Cornejo,@Deyvid2Corn,,,32,,780,https://twitter.com/Deyvid2Corn/status/1787298260895355298,https://twitter.com/Deyvid2Corn,"No minorías, inmigrantes, que es lo mismo",5 may.,2024-05-06T01:48:06.000Z
El Messi,@avaldescarrera2,,,2,2,51,https://twitter.com/avaldescarrera2/status/1789551034936815720,https://twitter.com/avaldescarrera2,"Algunos como ella pensarán que hay que poner una muralla. No hay que hacer nada

Simplemente los inmigrantes serán repatriados",12 may.,2024-05-12T06:59:49.000Z
