Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Rose,@Laemperatriz0,"https://pbs.twimg.com/media/GM3dMypWEAAUh0L?format=jpg&name=small, https://pbs.twimg.com/media/GM3dMypWEAAUh0L?format=jpg&name=small",,,1,74,https://twitter.com/Laemperatriz0/status/1787327841689883069,https://twitter.com/Laemperatriz0,"¿En serio? Ya de por sí los Judíos se creen la gran verga aquí en Panamá, y ahora con esto?",5 may.,2024-05-06T03:45:39.000Z
horse power boots,@ANGUSBOOTSPTY,"https://pbs.twimg.com/media/GMx_siGWUAAfBBO?format=jpg&name=small, https://pbs.twimg.com/media/GMx_siGWUAAfBBO?format=jpg&name=small",,,,20,https://twitter.com/ANGUSBOOTSPTY/status/1786943561901932578,https://twitter.com/ANGUSBOOTSPTY,7 los judios lo utilizan siempre ! Número ganador !,4 may.,2024-05-05T02:18:39.000Z
H A C H E,@Anghieq12,,,,,78,https://twitter.com/Anghieq12/status/1789061312317710692,https://twitter.com/Anghieq12,Los judíos son tan codos que hasta puteando piden rebaja,10 may.,2024-05-10T22:33:50.000Z
C.U.C.O. Panamá,@CUCOPanama,"https://pbs.twimg.com/ext_tw_video_thumb/1788656242660950016/pu/img/3jM21j2yJEwnyxfW.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1788656242660950016/pu/img/3jM21j2yJEwnyxfW.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1788656242660950016/pu/img/3jM21j2yJEwnyxfW.jpg",1,1,1,30,https://twitter.com/CUCOPanama/status/1788656255063462101,https://twitter.com/CUCOPanama,"Y también esto para que sigan apoyando a estos monstruos que no solo,vienen a cazar judíos sino a masacrar y degollar a todo el que no los apoya ni se convierta al Islam. Sobretodo a los",9 may.,2024-05-09T19:44:17.000Z
Alex,@WCAmaya23,,,,,1,https://twitter.com/WCAmaya23/status/1789112556658770213,https://twitter.com/WCAmaya23,Pronto se levantaran judios culer..s en LATAM,10 may.,2024-05-11T01:57:28.000Z
George Vasquez,@yosoyjev,,,,,1,https://twitter.com/yosoyjev/status/1789612728346161441,https://twitter.com/yosoyjev,Si realmente nos propusiéramos a sacarlos de los puestos más importantes del planeta y les prohibiéramos participar del globalismo. Estaríamos libres del yugo de los falsos judíos proveniente de Europa. Jazaros!,21h,2024-05-12T11:04:58.000Z
horse power boots,@ANGUSBOOTSPTY,,,1,1,76,https://twitter.com/ANGUSBOOTSPTY/status/1786941775904379211,https://twitter.com/ANGUSBOOTSPTY,"Y
Para los judios el 7 es el número de la suerte !",4 may.,2024-05-05T02:11:33.000Z
Ñindo,@indoopp,,,,,58,https://twitter.com/indoopp/status/1787145643053469708,https://twitter.com/indoopp,Mierda los judíos son todos iguales.,5 may.,2024-05-05T15:41:39.000Z
JAVI MORENO,@JAVIMOR28772292,,,1,1,12,https://twitter.com/JAVIMOR28772292/status/1788259067103773062,https://twitter.com/JAVIMOR28772292,"Ese mapa es del Reino de Israel, Despues hubo los dos reinos Israel and Judah. Pero los judios estaban alli por 1500 años antes de ese mapa, en forma de tribus politeistas o henoteistas. Eran los Canaenistas que poblaban esas tierras ocupadas a veces por Ejypto.",8 may.,2024-05-08T17:26:00.000Z
PASAJERO 101,@PASAJERO101,,,,,9,https://twitter.com/PASAJERO101/status/1788642119239786847,https://twitter.com/PASAJERO101,Murieron más rusos civiles que dizque judíos pero los judíos se hacen llamar víctimas del holocausto para poder robar territorio.,9 may.,2024-05-09T18:48:07.000Z
RED소원89,@rdegr002,,,2,,73,https://twitter.com/rdegr002/status/1789416609834020931,https://twitter.com/rdegr002,Ahora es obligatorio comprar las ropas. Los únicos que ganan son los judíos vendiendo esa ropa...,11 may.,2024-05-11T22:05:40.000Z
LIBERTAD Y ORDENMULINO CONDUCCIÓN,@libertad507,,,,,68,https://twitter.com/libertad507/status/1789020536644780492,https://twitter.com/libertad507,"Reebok ni sabe q su comercializadora en Panamá está trapeando el piso con su marca, es más si se enteraran le quitan la licencia a los judíos q comercializan la marca y va a haber un problema mayúsculo con el tema de equipaciones.",10 may.,2024-05-10T19:51:48.000Z
Ricardo De Stefano,@ricdestefano,,,5,,61,https://twitter.com/ricdestefano/status/1788144017965748681,https://twitter.com/ricdestefano,Si sigues leyendo en el Apocalipsis llegarás a la parte donde los judíos se van a convertir y reconocer a Jesús antes de su segunda venida. Así que por más que des volteretas hurgando aquí y allá en la Biblia. Dios no va a dejar a los judíos cautivos en Babilonia tampoco esta vez,8 may.,2024-05-08T09:48:50.000Z
