Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
𝐋𝐢𝐦𝐨𝐧𝐞𝐫𝐮,@limoneru,"https://pbs.twimg.com/media/GM8tVlAXAAAPLVa?format=jpg&name=small, https://pbs.twimg.com/media/GM8tVlAXAAAPLVa?format=jpg&name=small",,,,8,https://twitter.com/limoneru/status/1787697429376049245,https://twitter.com/limoneru,"Si me ven en la calle, ¿Qué pensarían que soy? 
-Hetero 
-Lesbiana 
-Bisexual 
-Pansexual 
-Aroace 
-Otro",6 may.,2024-05-07T04:14:15.000Z
777,@yoeirayerelis,,496,2 mil,59,97 mil,https://twitter.com/yoeirayerelis/status/1787578832565743904,https://twitter.com/yoeirayerelis,No querían a Lombana porque supuestamente ustedes era gay Martinelli tiene un hijo gay y Mulino una hija Lesbiana,6 may.,2024-05-06T20:22:59.000Z
..CaroLain..,@CaroLain1525,https://pbs.twimg.com/tweet_video_thumb/GNA6jxEWUAAwRIL.jpg,,1,,16,https://twitter.com/CaroLain1525/status/1787993444457046376,https://twitter.com/CaroLain1525,Y tengo entendido que la hija es lesbiana.. imaginateeee jajajajajajajajaja para que se revuelquen mas ..,7 may.,2024-05-07T23:50:31.000Z
albim,@notalbxn,"https://pbs.twimg.com/media/GM1rApyXIAAEqtX?format=jpg&name=360x360, https://pbs.twimg.com/media/GM1rApyXIAAEqtX?format=jpg&name=360x360",9,65,3,3 mil,https://twitter.com/notalbxn/status/1787898832551821421,https://twitter.com/notalbxn,parece lesbiana de esas q se visten como man,7 may.,2024-05-07T17:34:33.000Z
Patricia,@patriciarodalv,"https://pbs.twimg.com/media/GM6CQ_CWEAAh4LW?format=jpg&name=360x360, https://pbs.twimg.com/media/GM6CQ_CWEAAh4LW?format=jpg&name=360x360",2,15,2,1 mil,https://twitter.com/patriciarodalv/status/1787514028480172224,https://twitter.com/patriciarodalv,"Si yo fuera hombre o lesbiana, CRÉEME que preferiría mil veces, en esta vida y en la otra a @KarlaMaNa29.",6 may.,2024-05-06T16:05:29.000Z
YairAriel:,@yair19976,,,,,69,https://twitter.com/yair19976/status/1788054840813236550,https://twitter.com/yair19976,Ella es lesbiana?,7 may.,2024-05-08T03:54:29.000Z
jose,@joseeleal9,,,,,94,https://twitter.com/joseeleal9/status/1787199369453724091,https://twitter.com/joseeleal9,Ud no es lesbiana?,5 may.,2024-05-05T19:15:08.000Z
Soylariri,@Soylariri1,,,,1,44,https://twitter.com/Soylariri1/status/1789741779622740069,https://twitter.com/Soylariri1,Mo vuelvete lesbiana,12h,2024-05-12T19:37:46.000Z
JC,@JCLG26,,,2,1,41,https://twitter.com/JCLG26/status/1789843882613604427,https://twitter.com/JCLG26,"- Mireya
- Balbina
- Zulay
- Kathleen Levy
- Ana Matilde
- La Atanasiu
- Corina Cano
- La princesa...

El cerro de giales que han sido legisladoras durante décadas y décadas pero que no hablaban ante los medios

Ta pasada de mentirosa la sra lesbiana con familia esta",6h,2024-05-13T02:23:29.000Z
Abdiel Alexis,@DobleASays,,1,11,,455,https://twitter.com/DobleASays/status/1788769849813991597,https://twitter.com/DobleASays,Yo me acabo de enterar que mulino es cueco friendly porque la hija es lesbiana,9 may.,2024-05-10T03:15:40.000Z
