Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
George Vasquez,@yosoyjev,https://pbs.twimg.com/ext_tw_video_thumb/1787056792570126337/pu/img/yIbQKfso1_CTOjfX.jpg,,,,141,https://twitter.com/yosoyjev/status/1787056960832983172,https://twitter.com/yosoyjev,"Panamá como dueles… los mismos que que te suben la luz, los intereses, son socios de la mina y nos roban todos los días, SON LOS MISMOS DUEÑOS DE LOS MEDIOS. Quien te vendió a Lombana como el ave María? Pero dale, vayan directo al matadero por 3ra vez, ya serían 15 años de dedo!",5 may.,2024-05-05T09:49:16.000Z
Tony Salazar,@TonySalazarA86,"https://pbs.twimg.com/media/GMzsHOeXQAA_ydk?format=jpg&name=360x360, https://pbs.twimg.com/media/GMzsHOeXQAA_ydk?format=jpg&name=360x360",2,3,,88,https://twitter.com/TonySalazarA86/status/1787062768606052462,https://twitter.com/TonySalazarA86,Aún siento pena ver como se robo el protagonismo de las huelgas cuando meses antes era pro mina pero los jóvenes que no se dejan llevar por el discurso de odio votarán bien y el interior también votará bien,5 may.,2024-05-05T10:12:20.000Z
Carlos Elías,@_carloselias15,"https://pbs.twimg.com/media/GNAtLC1WkAAJxYP?format=jpg&name=small, https://pbs.twimg.com/media/GNAtLC1WkAAJxYP?format=jpg&name=small",45,77,6,7 mil,https://twitter.com/_carloselias15/status/1787978722877849758,https://twitter.com/_carloselias15,"Empezamos bien representados.

Así dice First Quantum (ALCOGAL representó a la mina) e Impa Doel (de las 5 distribuidoras de medicamentos que nos encarecen la salud)",7 may.,2024-05-07T22:52:01.000Z
Sk,@SerranoSkarlet,"https://pbs.twimg.com/media/GM2fuExXgAAUUwz?format=jpg&name=small, https://pbs.twimg.com/media/GM2fuExXgAAUUwz?format=jpg&name=small",,1,,119,https://twitter.com/SerranoSkarlet/status/1787260243518390351,https://twitter.com/SerranoSkarlet,"Si mulino gana, las protestas contra la mina, los auxilios, la falta de medicina y todo habrá sido en vano.
EL PANAMEÑO MERECE Y LE GUSTA SUFRIR 
SOLO votan por ese man porque MULINO ES MARTINELLI 
SON UNOS DECEREBRADOS INEPTOS SIN UNA NEUNORA FUNCIONAL",5 may.,2024-05-05T23:17:02.000Z
Panama Rock Radio,@panamarhradio,"https://pbs.twimg.com/ext_tw_video_thumb/1789398909510365184/pu/img/s94LcXb6rtLHD-7B.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1789398909510365184/pu/img/s94LcXb6rtLHD-7B.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1789398909510365184/pu/img/s94LcXb6rtLHD-7B.jpg",,,,19,https://twitter.com/panamarhradio/status/1789399001608900776,https://twitter.com/panamarhradio,ENTONCES EN QUE QUEDAMOS CON LA MINA?,11 may.,2024-05-11T20:55:42.000Z
Panama Rock Radio,@panamarhradio,"https://pbs.twimg.com/ext_tw_video_thumb/1789399193376735232/pu/img/Y2RoIyjotENdKWJL.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1789399193376735232/pu/img/Y2RoIyjotENdKWJL.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1789399193376735232/pu/img/Y2RoIyjotENdKWJL.jpg",,,,12,https://twitter.com/panamarhradio/status/1789399270862270505,https://twitter.com/panamarhradio,ENTONCES EN QUE QUEDAMOS CON LA MINA?,11 may.,2024-05-11T20:56:46.000Z
Aldo Antinori,@aldo_antinori,"https://pbs.twimg.com/media/GND-NWiW8AAkyas?format=jpg&name=small, https://pbs.twimg.com/media/GND-NWiW8AAkyas?format=jpg&name=small",,2,,70,https://twitter.com/aldo_antinori/status/1788208773313519968,https://twitter.com/aldo_antinori,Qué les parece ésta propuesta para resolver el debate en torno al tema de la mina de cobre?,8 may.,2024-05-08T14:06:09.000Z
Jairo Aníbal Vásquez Pravia,@jvasqprav3323,https://pbs.twimg.com/media/GNGjMiaWwAEw5sS?format=jpg&name=small,,,1,12,https://twitter.com/jvasqprav3323/status/1788389964784238942,https://twitter.com/jvasqprav3323,La reapertura de operaciones de la mina de Donoso es inevitable. Su produccion suple el 10% de la oferta mundial de cobre. Este es un mineral fundamental para cumplir con el mandato de transicion energetica aprobado por el gobierno de EEUU y la Union Europea para el año 2050.,8 may.,2024-05-09T02:06:08.000Z
Isaac Larrier,@IsaacLarrier,https://pbs.twimg.com/media/GM5quj2WsAE7vrz?format=jpg&name=small,7,35,3,1 mil,https://twitter.com/IsaacLarrier/status/1787483463026630937,https://twitter.com/IsaacLarrier,"Hay algo importante que agregar. El martinellismo logró votos, pero los independientes tienen MASAS.

Es IMPOSIBLE que el martinellismo logre convocar a una protesta como las de octubre contra la mina.

¿Tirarías piedras por Mulino? Yo tampoco.",6 may.,2024-05-06T14:04:02.000Z
MiaMG,@MiaMG31,https://pbs.twimg.com/media/GM-5e8IXoAE5MNs?format=jpg&name=small,5,6,1,97,https://twitter.com/MiaMG31/status/1787851932322685193,https://twitter.com/MiaMG31,Hasta la misma ACP nos informa que el agua que utiliza la mina no le afecta al Canal de Panamá. Muchos desinforman sobre esto. La realidad es que el agua que utiliza la mina no es la mina del Canal. #HablandoClaro,7 may.,2024-05-07T14:28:12.000Z
Sandra Delgado Rodríguez,@sandradelCCO,https://pbs.twimg.com/ext_tw_video_thumb/1788327771791384576/pu/img/yr6ZYGScawE2VSBB.jpg,,,,31,https://twitter.com/sandradelCCO/status/1788327787150889394,https://twitter.com/sandradelCCO,"El mal que le hacen los pseudoperiodistas a este país es enorme, porque la estupidez que ellos tienen y la mala intención que le ponen a sus noticias falsas destruyen lo bueno que hay. El presidente @JoseRaulMulino jamás dijo que abriría la mina y aquí está la prueba",8 may.,2024-05-08T21:59:04.000Z
​​. ​​​​,@Remy_Otzare,"https://pbs.twimg.com/tweet_video_thumb/GM_1N2JWwAA038y.jpg, https://pbs.twimg.com/tweet_video_thumb/GM_1N2JWwAA038y.jpg, https://pbs.twimg.com/tweet_video_thumb/GM_1N2JWwAA038y.jpg",3,5,4,767,https://twitter.com/Remy_Otzare/status/1787917204953960824,https://twitter.com/Remy_Otzare,"El contrato de la mina será renegociado y aprobado por todos los diputados de vamos y moca que hoy aplauden y les lanzan vitores, guarden este tweet...",7 may.,2024-05-07T18:47:34.000Z
Alejandro Perez,@aeperezt,"https://pbs.twimg.com/media/GND3_olXkAALN-M?format=jpg&name=small, https://pbs.twimg.com/media/GND3_olXkAALN-M?format=jpg&name=small",,,,44,https://twitter.com/aeperezt/status/1788201959750537398,https://twitter.com/aeperezt,"Los Panameños que votaron por Mulino, cuando intenten abrir la mina",8 may.,2024-05-08T13:39:05.000Z
Movimiento Progresista Torrijista,@Torrijismo_MPT,https://pbs.twimg.com/ext_tw_video_thumb/1788302062377222145/pu/img/Orzj9c8FzHM94dc6.jpg,3,1,1,105,https://twitter.com/Torrijismo_MPT/status/1788302070463811739,https://twitter.com/Torrijismo_MPT,"Creíste que bajarían los precios de los medicamentos y que cerrarían la mina?, piensa denuevo.",8 may.,2024-05-08T20:16:53.000Z
José Escudero,@joseEscuderog,https://pbs.twimg.com/media/GNLEGsTXkAAtBI9?format=jpg&name=900x900,1,2,1,164,https://twitter.com/joseEscuderog/status/1788707623333675347,https://twitter.com/joseEscuderog,"LA MINA Clandestina debería ser echada A PATADAS DE AQUÍ, POR EL DAÑO AL MEDIO AMBIENTE, no se olviden, esto se va repetir",9 may.,2024-05-09T23:08:24.000Z
lifeovadeath507,@soundzvibes507,https://pbs.twimg.com/ext_tw_video_thumb/1788605046126501889/pu/img/3OznVTmAztjU0pfA.jpg,,1,,25,https://twitter.com/soundzvibes507/status/1788605144440951221,https://twitter.com/soundzvibes507,"LA MINA NO VA:  El presidente electo @JoseRaulMulino habla alto y claro.
La mina no va y  ya la corte declaro el contrato inconstitucional ni soñando dice el presidente electo, mientras periodista de quinta categoría progre woke trato de enrredar y no pudo .",9 may.,2024-05-09T16:21:11.000Z
La Estrella | Panamá,@EstrellaOnline,"https://pbs.twimg.com/media/GNQnsuoXYAEEJYm?format=jpg&name=small, https://pbs.twimg.com/media/GNQnsuoXYAEEJYm?format=jpg&name=small",1,5,1,1 mil,https://twitter.com/EstrellaOnline/status/1789098604021395543,https://twitter.com/EstrellaOnline,"El electo presidente de la República, José Raúl Mulino, afirmó que no hablará de una posible apertura de la mina con el objetivo de concretar su cierre, si los arbitrajes que hay contra el Estado panameño no se suspenden de buena fe. 

Más aquí   https://buff.ly/44KgQcb",10 may.,2024-05-11T01:02:01.000Z
Joshua Lawson,@JoshuaALawson,,,1,1,187,https://twitter.com/JoshuaALawson/status/1788759002261680390,https://twitter.com/JoshuaALawson,Este men no va a superar la mina jamás aww,9 may.,2024-05-10T02:32:34.000Z
Andrea Carolina,@TheBunnyHero11,,4,18,1,684,https://twitter.com/TheBunnyHero11/status/1789322893911847141,https://twitter.com/TheBunnyHero11,"La mina tiene que irse. Ya hay que ir organizando el cierre. En un país que está siendo afectado por una crisis climática y que debemos pensar en cómo mitigar riesgos, mantener una mina que contamina es una idea absurda.  Es un tema que ya se decidió que no se quiere.",11 may.,2024-05-11T15:53:16.000Z
