Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
꧁✭Я✭꧂,@R0SSYB00P,"https://pbs.twimg.com/media/GNZwrbiXkAEDleZ?format=jpg&name=small, https://pbs.twimg.com/media/GNZwrbiXkAEDleZ?format=jpg&name=small",20,298,,5 mil,https://twitter.com/R0SSYB00P/status/1789741800573243536,https://twitter.com/R0SSYB00P,"Ella es lo que toda mujer debe evitar ser…
#LaCasaDeLosFamososCol #LaCasaDeLosFamososColombia",12h,2024-05-12T19:37:51.000Z
Christina,@ohsnaps,"https://pbs.twimg.com/media/GNBjDkOWEAEF6sJ?format=jpg&name=900x900, https://pbs.twimg.com/media/GNBjDkOWEAEF6sJ?format=jpg&name=900x900",,1,2,325,https://twitter.com/ohsnaps/status/1788037970987036855,https://twitter.com/ohsnaps,"Bueno esta mujer quiere llorar por los precios, what is this Shaki",7 may.,2024-05-08T02:47:27.000Z
val,@vvalentinaq,"https://pbs.twimg.com/media/GNTwYeAXIAE4bba?format=jpg&name=small, https://pbs.twimg.com/media/GNTwYeAXIAE4bba?format=jpg&name=small",,3,,80,https://twitter.com/vvalentinaq/status/1789319259501314076,https://twitter.com/vvalentinaq,un día cualquiera en la vida de una mujer en el gym o en cualquier lugar,11 may.,2024-05-11T15:38:50.000Z
Mars,@marsnubx,"https://pbs.twimg.com/media/GNZ-fnbXAAAaWDh?format=jpg&name=small, https://pbs.twimg.com/media/GNZ-fnbXAAAaWDh?format=jpg&name=small",8,27,,2 mil,https://twitter.com/marsnubx/status/1789756987653181860,https://twitter.com/marsnubx,Martha no esta soportando como les gritan a los papillentes y los 3 fans del team Galácticos  no hacen lo mismo y luego dicen que es una mujer con 0 envidia y rencor JAJAJAJA #LaCasaDeLosFamososCo #LaCasaDeLosFamososCol #LaCasaDeLosFamososColombia,11h,2024-05-12T20:38:12.000Z
Carolina Isabel Fonseca Vera,@CarolinaIsabelF,"https://pbs.twimg.com/ext_tw_video_thumb/1789059666426634240/pu/img/0ABYlCoGT4Q4TV5m.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1789059666426634240/pu/img/0ABYlCoGT4Q4TV5m.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1789059666426634240/pu/img/0ABYlCoGT4Q4TV5m.jpg",12,42,8,3 mil,https://twitter.com/CarolinaIsabelF/status/1789059712463339899,https://twitter.com/CarolinaIsabelF,La policía del Bronx atrapó al tipo que agarró a una mujer por el cuello con un cinturón y se salió con la suya. El público exige justicia en las calles.,10 may.,2024-05-10T22:27:29.000Z
𝕮𝖆𝖒𝖆𝖗𝖌𝖔,@juancamargo21,https://pbs.twimg.com/ext_tw_video_thumb/1786916019518255104/pu/img/o4LRKaiVyImW1xLa.jpg,,2,,126,https://twitter.com/juancamargo21/status/1786916088090956190,https://twitter.com/juancamargo21,La única chica que se sube es mi vrgv y mi mujer,4 may.,2024-05-05T00:29:29.000Z
𝕬𝖑𝖎;),@_AlissonRachell,,3,5,,181,https://twitter.com/_AlissonRachell/status/1787997696902451537,https://twitter.com/_AlissonRachell,Fren los hombres no entienden que acosar a una mujer no va hacer que nos gusten si no que nos den asco y miedo,7 may.,2024-05-08T00:07:24.000Z
Telemetro Reporta,@TReporta,"https://pbs.twimg.com/media/GM-VdpAW0AAc7D4?format=jpg&name=small, https://pbs.twimg.com/media/GM-VdpAW0AAc7D4?format=jpg&name=small",,,,1 mil,https://twitter.com/TReporta/status/1787811919295918379,https://twitter.com/TReporta,Autoridades investigan el homicidio de una mujer en Pedregal. #TReporta,7 may.,2024-05-07T11:49:12.000Z
Carolina Isabel Fonseca Vera,@CarolinaIsabelF,https://pbs.twimg.com/ext_tw_video_thumb/1789781262061686784/pu/img/BgVAkYE4-sRJsSAN.jpg,10,9,2,1 mil,https://twitter.com/CarolinaIsabelF/status/1789781312535978275,https://twitter.com/CarolinaIsabelF,"ÚLTIMA HORA: ¡Más violencia trans! 

Un hombre que se cree mujer asesinó a un hombre inocente afuera de su casa. 

Golpeó al hombre con su auto, lo atropelló, lo apuñaló varias veces, lo besó y luego hizo bailo sobre su cuerpo.",10h,2024-05-12T22:14:52.000Z
Dada,@antuxturkishh,https://pbs.twimg.com/ext_tw_video_thumb/1789870663353733120/pu/img/bwxwy7LyOfnKlcDt.jpg,1,26,2,685,https://twitter.com/antuxturkishh/status/1789870676838322189,https://twitter.com/antuxturkishh,Alguien más sintió cosas de mujer?   #LaCasaDeLosFamososCol,4h,2024-05-13T04:09:58.000Z
