Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
kciquepty,@kciquepty,"https://pbs.twimg.com/ext_tw_video_thumb/1788012815279636480/pu/img/MmoXvvE67tDt3X_a.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1788012815279636480/pu/img/MmoXvvE67tDt3X_a.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1788012815279636480/pu/img/MmoXvvE67tDt3X_a.jpg",38,146,11,4 mil,https://twitter.com/kciquepty/status/1788012931340267813,https://twitter.com/kciquepty,"Totallllll
Así debe ser
Cosas que mulino no haría, y eso que habla de transparencia",6h,2024-05-08T01:07:57.000Z
Manuel,@Mxnuels,"https://pbs.twimg.com/media/GNBmedwWsAAioJ9?format=jpg&name=small, https://pbs.twimg.com/media/GNBmedwWsAAioJ9?format=jpg&name=small",27,110,1,2 mil,https://twitter.com/Mxnuels/status/1788041730136088761,https://twitter.com/Mxnuels,Los que votaron por Mulino viendo como Martinelli sube una foto con un PRD,4h,2024-05-08T03:02:23.000Z
Adrian,@AdriangonzaIez,"https://pbs.twimg.com/media/GNA-4TxWUAAJyxy?format=jpg&name=small, https://pbs.twimg.com/media/GNA-4TxWUAAJyxy?format=jpg&name=small",22,86,,3 mil,https://twitter.com/AdriangonzaIez/status/1787998195609383415,https://twitter.com/AdriangonzaIez,"los que votaron por Mulino se están dando cuenta, solo que muy tarde",7h,2024-05-08T00:09:23.000Z
Andreé Moreira,@Andree26M,"https://pbs.twimg.com/media/GM2smEcXEAAi3QI?format=jpg&name=small, https://pbs.twimg.com/media/GM2smEcXEAAi3QI?format=jpg&name=small",756,2 mil,12,47 mil,https://twitter.com/Andree26M/status/1787274400833712139,https://twitter.com/Andree26M,El que me venga a joder mañana dizque Mulino Presidente…,5 may.,2024-05-06T00:13:17.000Z
chickenteriyaki Versace,@_Chickenteriyak,,157,634,2,12 mil,https://twitter.com/_Chickenteriyak/status/1787969914919153733,https://twitter.com/_Chickenteriyak,Se debe hacer una segunda vuelta electoral solo entre Mulino y Lombana xuxa madre.,9h,2024-05-07T22:17:01.000Z
Eduardo Menoni,@eduardomenoni,"https://pbs.twimg.com/amplify_video_thumb/1787318241217417216/img/YzHVpKiwIOdPUvfd.jpg, https://pbs.twimg.com/amplify_video_thumb/1787318241217417216/img/YzHVpKiwIOdPUvfd.jpg, https://pbs.twimg.com/amplify_video_thumb/1787318241217417216/img/YzHVpKiwIOdPUvfd.jpg",2 mil,10 mil,129,322 mil,https://twitter.com/eduardomenoni/status/1787318364169212245,https://twitter.com/eduardomenoni,"| ÚLTIMA HORA: Al estilo Milei el nuevo Presidente de DERECHA de Panamá José Mulino da su primer discurso: ""MISIÓN CUMPLIDA CARAJO, aquí estamos porque hemos llegado con el voto mayoritario del pueblo, duélale a quien le duela.""  ¿Apoyas esta APLASTANTE VICTORIA PATRIOTA?",5 may.,2024-05-06T03:07:59.000Z
Foco,@focopanama,"https://pbs.twimg.com/ext_tw_video_thumb/1787660859700908032/pu/img/cFC0V0ctJshVkaqz.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1787660859700908032/pu/img/cFC0V0ctJshVkaqz.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1787660859700908032/pu/img/cFC0V0ctJshVkaqz.jpg",172,291,212,93 mil,https://twitter.com/focopanama/status/1787660948271988823,https://twitter.com/focopanama,"Mulino habla de reabrir la mina para ""irla cerrando paulatinamente""",6 may.,2024-05-07T01:49:17.000Z
harathcito,@HarathZapata16,https://pbs.twimg.com/ext_tw_video_thumb/1728080174170718208/pu/img/gpJglVHMMlkbQG5X.jpg,494,1 mil,9,38 mil,https://twitter.com/HarathZapata16/status/1787300704475824605,https://twitter.com/HarathZapata16,yo cuando me encuentre a la primera persona que me diga que votó por Mulino,5 may.,2024-05-06T01:57:49.000Z
El Dr amargado,@DryipM,"https://pbs.twimg.com/media/GM3OZDsWUAAsbjA?format=jpg&name=small, https://pbs.twimg.com/media/GM3OZDsWUAAsbjA?format=jpg&name=small",34,104,12,8 mil,https://twitter.com/DryipM/status/1787311560995516644,https://twitter.com/DryipM,"Sin ánimos de ofender a nadie miren donde ganó mulino y miren donde ganó lombana.
Hoy Perdió mi Panamá, ganó la ignorancia .",5 may.,2024-05-06T02:40:57.000Z
vivienne westwood bride,@pxedreamgirl,https://pbs.twimg.com/media/GM53KYhXIAE6HdA?format=jpg&name=small,9,53,1,1 mil,https://twitter.com/pxedreamgirl/status/1787497129306460462,https://twitter.com/pxedreamgirl,ustedes por q no podían sacarle esto a los awebaos q votaron por mulino por pura homofobia antes de las elecciones? se durmieron ahí,6 may.,2024-05-06T14:58:20.000Z
