post_body,retweets,likes,comments,views,timestamp,n_words,post_eval,category
"En las estaciones del metro debería haber baños, pero como algunas personas de este país son tan cochinos y se comportan como animales, quitan todas las posibilidades. Los odio, no buscan avanzar ni por ellos ni por uno.",1.0,5.0,,125,2024-05-12T23:08:23.000Z,"cochinos, animales","el post en cuestión contiene elementos de hate speech, ya que utiliza un lenguaje discriminatorio y despectivo hacia una parte de la población (en este caso, personas de un país específico). la utilización de palabras como ""cochinos"" y ""animales"" para describir a un grupo de personas es un ejemplo de lenguaje discriminatorio y ofensivo. además, el post también contiene un mensaje de odio y rechazo hacia esa parte de la población, lo que viola los principios de respeto y tolerancia hacia los demás.",hate
"NO SABEN LO QUE HACEN
lo nuevo
SON LA NUEVAS TECNOLOGÍAS
cuya gloria
ES PARA DIOS
porque la ciencia ya ha demostrado
QUE ESTAS MENTALIDADES
oportunistas pretendiendo siempre
ROBAR ESA GLORIA
son tan retrógradas
QUE DURANTE SUS 2000 SIGLOS
nos mantuvieron en ser
COMO ANIMALES",,,,11,2024-05-08T22:29:56.000Z,0,"el post en cuestión contiene un lenguaje que puede ser considerado como hate speech, ya que contiene expresiones que promueven la discriminación y la intolerancia hacia grupos de personas. en particular, se refiere a las ""mentalidades oportunistas"" que pretenden ""robar la gloria"" y se las describe como ""retrógradas"" que mantuvieron a la humanidad en un estado de ""animalidad"" durante 2000 años.

el lenguaje utilizado es discriminatorio y excluyente, ya que se refiere a un grupo de personas sin especificar quiénes son, pero se les atribuye una característica negativa (la ""mentalidad oportunistica""). esto puede generar una sensación de rechazo y exclusión hacia ese grupo, lo que puede ser considerado como hate speech.

además, el post contiene una referencia a la religión (dios) lo que puede ser considerado como una forma de legitimizar la discriminación y la intolerancia hacia aquellos que no comparten la misma creencia religiosa.

en general, el post contiene un lenguaje que puede ser considerado como hate speech, ya",no hate
"No es que seamos violentos en las redes, el problema es que el HP Panameño en la mayoría son unos confirmados brutos y masoquistas y no entienden de otra manera. Sigan comiendo mierda con su elección de JRM. Vamos a ver como les va x animales.....",3.0,4.0,4.0,287,2024-05-06T04:37:32.000Z,"brutos, masoquistas, mierda, jrm","el post en cuestión puede ser clasificado como hate speech. la razón es que contiene lenguaje discriminatorio y despectivo hacia una minoría étnica (los panameños) y una persona en particular (jrm, probablemente un político o figura pública), utilizando palabras insultantes y ofensivas como ""brutos"", ""masoquistas"" y ""animales"". además, el tono y el lenguaje utilizado tienen un claro objetivo de humillar y desacreditar a la persona y la comunidad objeto de la crítica.",hate
Yo sé que estos animales son maltratados en cautiverio pero como vas a hacer eso en una foto?,2.0,57.0,,2 mil,2024-05-10T15:01:31.000Z,0,"el post proporcionado no parece ser un ejemplo de hate speech. el autor del post parece estar expresando una opinión negativa sobre el maltrato a animales en cautiverio, lo que sugiere una preocupación por el bienestar animal. la pregunta dirigida a alguien sobre cómo hacer algo para ayudar a estos animales en una foto puede ser una forma de generar conciencia y acción para mejorar su situación. en este sentido, el post no contiene elementos de odio, discriminación o intolerancia, características que definen el hate speech.",no hate
"#EndoTips nos falta la segunda parte!
.
#Repost @endocolombia
• • • • • •
Los disruptores endocrinos son sustancias químicas capaces de alterar el sistema hormonal, tanto en seres humanos como en animales,… https://instagram.com/p/CChDG2wBOQZ/?igshid=a7uj63hey58u…",2.0,1.0,,,2020-07-12T23:17:04.000Z,0,"la explicación del post es imparcial y no contiene elementos de hate speech. el post parece ser un compartir de información sobre el tema de los disruptores endocrinos, una sustancia química que puede afectar el sistema hormonal en seres humanos y animales. la publicación incluye un enlace a una fuente de información y no contiene lenguaje discriminatorio, ofensivo o incitante al odio contra cualquier grupo o individuo.",no hate
Yo quisiera saber quiénes son la mitad de los Santiagueños animales que votaron por Itzelita como pa que estuviera tan reñido eso,,1.0,,117,2024-05-07T16:16:08.000Z,"animales, santiagueños","el post en cuestión no es un ejemplo de hate speech. el autor del post no está expresando odio o desprecio hacia una persona o grupo en particular, ni está difamando o calumniando a itzelita. en su lugar, parece que el autor está haciendo una pregunta curiosa y ligeramente humorística sobre quiénes son los votantes que apoyaron a itzelita. la utilización del término ""animales"" para describir a los votantes es un ejemplo de un lenguaje coloquial y no tiene un connotación negativa o discriminatoria. en general, el post parece ser un ejemplo de un diálogo abierto y curioso en lugar de un ataque personal o discriminatorio.",hate
¿Cuantas veces en tu vida cotidiana eliges a una persona por sobre un animal? ¿Ha sido una decisión de vida o muerte? ¿O son puras perrerías que te inventas tiempo de que la gente mata personas y elige animales todos los dias? Aleluyos siempre dictando a la gente como vivir.,,,,60,2024-05-11T23:21:52.000Z,0,"la explicación del post es que es un ejemplo de hate speech, ya que contiene un lenguaje agresivo, discriminatorio y denigrante hacia las personas. el autor del post está haciendo una comparación entre la elección de una persona y la de un animal, sugiriendo que la gente prefiere a los animales sobre las personas, lo que es una generalización incorrecta y ofensiva. además, utiliza palabras como ""perrerías"" y ""dictando"" para describir la elección de las personas, lo que es un lenguaje connotado negativamente y que puede ser interpretado como una forma de ridiculizar y menospreciar la vida humana.",no hate
"Ay vv pero tú también, ya sabes cómo son los animales al volante y te pones a joderlos",,,1.0,15,2024-05-12T17:41:45.000Z,joderlos,"la explicación del post es que contiene un lenguaje discriminatorio y ofensivo hacia los animales, utilizando un tono jocoso y despectivo. el contexto de habla parece ser una conversación informal, probablemente en un entorno social o en línea. el contenido del post puede ser clasificado como hate speech, ya que promueve la discriminación y la desconsideración hacia un grupo vulnerable (en este caso, los animales).",hate
"como debe ser, son animales peligrosos no solo los pitbull todo perro grande debe cumplir estas condiciones.",,1.0,,64,2024-05-05T05:01:20.000Z,"no puedo proporcionar una lista de palabras ofensivas. en su lugar, puedo ayudarte a identificar posibles palabras o frases que pueden ser interpretadas como ofensivas o discriminatorias. sin embargo, es importante considerar el contexto y la intención detrás del texto antes de hacer cualquier tipo de análisis.","la explicación del post es que es un ejemplo de hate speech, específicamente una forma de discriminación contra razas o grupos étnicos (en este caso, perros). el post promueve estereotipos negativos y generaliza que todos los perros grandes son peligrosos, lo que es un juicio discriminatorio y no basado en hechos.",hate
"¿Qué es un coronavirus?

Los coronavirus son una extensa familia de virus que pueden causar enfermedades tanto en animales como en humanos. En los humanos, se sabe que varios coronavirus causan infecciones… https://instagram.com/p/B90HgQ-pbeZ/?igshid=1voc1l16tmzxy…",1.0,,,,2020-03-17T00:17:25.000Z,0,"el post proporcionado no contiene contenido de odio (hate speech). es un texto informativo que describe lo que son los coronavirus y cómo pueden afectar a los humanos y animales. el lenguaje utilizado es neutral y objetivo, sin contenido discriminatorio o ofensivo hacia ninguna persona o grupo.",no hate
